gene	time	log2_expr_level	term	estimate	std.error	statistic	p.value	conf.low	conf.high	identified_as
43891	2	-0.02980534243445021	time	0.003515946607723898	0.001965852055820702	1.7885102784380507	0.2155935079825942	-0.0049424321065366355	0.011974325321984431	Non-significant
43891	6	0.03154679106830294	time	0.003515946607723898	0.001965852055820702	1.7885102784380507	0.2155935079825942	-0.0049424321065366355	0.011974325321984431	Non-significant
43891	10	0.05630430437947087	time	0.003515946607723898	0.001965852055820702	1.7885102784380507	0.2155935079825942	-0.0049424321065366355	0.011974325321984431	Non-significant
43891	24	0.06545574951321065	time	0.003515946607723898	0.001965852055820702	1.7885102784380507	0.2155935079825942	-0.0049424321065366355	0.011974325321984431	Non-significant
43892	2	0.05679843362381476	time	-0.01115388365210651	0.0028672994390513524	-3.890030981834523	0.06017995260843676	-0.023490877410549914	0.0011831101063368935	Non-significant
43892	6	0.09341290733460639	time	-0.01115388365210651	0.0028672994390513524	-3.890030981834523	0.06017995260843676	-0.023490877410549914	0.0011831101063368935	Non-significant
43892	10	-0.03463637348968973	time	-0.01115388365210651	0.0028672994390513524	-3.890030981834523	0.06017995260843676	-0.023490877410549914	0.0011831101063368935	Non-significant
43892	24	-0.1615919572048874	time	-0.01115388365210651	0.0028672994390513524	-3.890030981834523	0.06017995260843676	-0.023490877410549914	0.0011831101063368935	Non-significant
43895	2	-0.14320506078337747	time	0.004244782289841404	0.006696289952162585	0.6339006106613618	0.5909748250798841	-0.02456702795202484	0.033056592531707646	Non-significant
43895	6	0.06237765090236902	time	0.004244782289841404	0.006696289952162585	0.6339006106613618	0.5909748250798841	-0.02456702795202484	0.033056592531707646	Non-significant
43895	10	-0.11648118335934221	time	0.004244782289841404	0.006696289952162585	0.6339006106613618	0.5909748250798841	-0.02456702795202484	0.033056592531707646	Non-significant
43895	24	0.012780070402123478	time	0.004244782289841404	0.006696289952162585	0.6339006106613618	0.5909748250798841	-0.02456702795202484	0.033056592531707646	Non-significant
44076	2	-0.033638438789814984	time	0.0024007981420449457	9.422647331646397e-4	2.5479019404469847	0.12565522089212633	-0.0016534397842525406	0.0064550360683424315	Non-significant
44076	6	0.006169542802830108	time	0.0024007981420449457	9.422647331646397e-4	2.5479019404469847	0.12565522089212633	-0.0016534397842525406	0.0064550360683424315	Non-significant
44076	10	0.0043372405699173555	time	0.0024007981420449457	9.422647331646397e-4	2.5479019404469847	0.12565522089212633	-0.0016534397842525406	0.0064550360683424315	Non-significant
44076	24	0.029942542388639026	time	0.0024007981420449457	9.422647331646397e-4	2.5479019404469847	0.12565522089212633	-0.0016534397842525406	0.0064550360683424315	Non-significant
44080	2	-0.11993970402113785	time	0.01429062611311095	0.02115356415089325	0.6755658768032007	0.5689584749417205	-0.07672581442466024	0.10530706665088214	Non-significant
44080	6	0.34160161362030017	time	0.01429062611311095	0.02115356415089325	0.6755658768032007	0.5689584749417205	-0.07672581442466024	0.10530706665088214	Non-significant
44080	10	-0.29172725168807734	time	0.01429062611311095	0.02115356415089325	0.6755658768032007	0.5689584749417205	-0.07672581442466024	0.10530706665088214	Non-significant
44080	24	0.3186502468424557	time	0.01429062611311095	0.02115356415089325	0.6755658768032007	0.5689584749417205	-0.07672581442466024	0.10530706665088214	Non-significant
44081	2	-0.018619146143979748	time	0.007573672617465436	4.8468872665329547e-4	15.625848510569936	0.004070565334884821	0.005488225344651843	0.009659119890279028	Significant
44081	6	0.02726825823542356	time	0.007573672617465436	4.8468872665329547e-4	15.625848510569936	0.004070565334884821	0.005488225344651843	0.009659119890279028	Significant
44081	10	0.046729297436707284	time	0.007573672617465436	4.8468872665329547e-4	15.625848510569936	0.004070565334884821	0.005488225344651843	0.009659119890279028	Significant
44081	24	0.1533754843227353	time	0.007573672617465436	4.8468872665329547e-4	15.625848510569936	0.004070565334884821	0.005488225344651843	0.009659119890279028	Significant
44082	2	0.07583874906088717	time	-0.005636488938077597	5.101851806361288e-4	-11.047927599640765	0.00809358301646522	-0.007831638598219358	-0.003441339277935835	Significant
44082	6	0.05421739364996192	time	-0.005636488938077597	5.101851806361288e-4	-11.047927599640765	0.00809358301646522	-0.007831638598219358	-0.003441339277935835	Significant
44082	10	0.017209251171564688	time	-0.005636488938077597	5.101851806361288e-4	-11.047927599640765	0.00809358301646522	-0.007831638598219358	-0.003441339277935835	Significant
44082	24	-0.04835719955134721	time	-0.005636488938077597	5.101851806361288e-4	-11.047927599640765	0.00809358301646522	-0.007831638598219358	-0.003441339277935835	Significant
44083	2	-0.0036755002967847616	time	-0.0016855146372282094	0.0016304174293293161	-1.0337933138518753	0.40986078120684666	-0.008700634640163091	0.005329605365706673	Non-significant
44083	6	-0.012785266379944815	time	-0.0016855146372282094	0.0016304174293293161	-1.0337933138518753	0.40986078120684666	-0.008700634640163091	0.005329605365706673	Non-significant
44083	10	0.026394709423826157	time	-0.0016855146372282094	0.0016304174293293161	-1.0337933138518753	0.40986078120684666	-0.008700634640163091	0.005329605365706673	Non-significant
44083	24	-0.039932934945056786	time	-0.0016855146372282094	0.0016304174293293161	-1.0337933138518753	0.40986078120684666	-0.008700634640163091	0.005329605365706673	Non-significant
44084	2	0.033106923712281855	time	0.005800147889364359	0.0029685314106271993	1.9538778901244265	0.18992721626349174	-0.006972411887917783	0.018572707666646503	Non-significant
44084	6	-0.03796745709951388	time	0.005800147889364359	0.0029685314106271993	1.9538778901244265	0.18992721626349174	-0.006972411887917783	0.018572707666646503	Non-significant
