"","Control 2h","Control 2h_2","Control 2h_3","Control 6h_1","Control 6h_2","Control 6h_3","Control 10h_1","Control 10h_2","Control 10h_3","Control 24h_1","Control 24h_2","Control 24h_3","Virus 2h_1","Virus 2h_2","Virus 2h_3","Virus 6h_1","Virus 6h_2","Virus 6h_3","Virus 10h_1","Virus 10h_2","Virus 10h_3","Virus 24h_1","Virus 24h_2","Virus 24h_3"
"PALM2AKAP2",680.2942,691.5931,605.8,667.8946,654.2726,643.3303,708.0574,718.7451,703.3579,667.7065,716.2729,673.5984,697.8371,704.9348,626.0597,715.6259,730.5993,668.2923,734.3571,697.7051,766.4359,721.5839,771.0405,731.4187
"PALMD",147.7001,137.1084,111.5953,118.9638,100.15382,97.2808,141.2858,124.5852,122.3145,136.9817,135.0408,117.9471,144.2133,133.7773,116.5119,147.7159,131.5014,120.1328,124.9811,139.8455,119.4999,123.3909,124.0011,117.6452
"PAM16",532.762,520.54,552.534,544.021,516.218,507.78,531.591,509.118,518.1,549.278,504.86,523.252,539.442,509.561,536.505,540.07,514.445,534.508,567.718,532.049,536.15,563.038,538.129,541.174
"PANK1",124.645,109.325,100.388,118.256,105.488,98.3368,119.695,102.024,103.36,125.972,115.21,113.721,117.394,104.737,104.49,105.996,102.671,93.1964,119.978,113.368,109.302,116.978,115.303,101.521
"PANK4",714.246,721.234,710.886,727.079,728.248,741.311,711.732,716.706,739.112,709.737,721.928,719.741,750.015,721.496,719.757,705.972,740.665,725.026,716.475,739.784,709.463,676.024,671.423,670.476
"PAPOLA",799.283,808.039,833.02,798.112,793.032,786.724,738.505,744.386,755.775,778.84,788.75,804.333,773.008,803.666,844.568,775.703,765.079,796.593,793.641,772.531,762.078,798.381,702.326,780.989
"PAPSS1",1413.186,1333.9844,1403.867,1314.672,1267.311,1313.897,1404.2894,1301.3127,1312.0922,1348.969,1326.293,1353.7387,1368.025,1358.314,1428.771,1397.373,1309.503,1359.751,1365.544,1358.755,1366.986,1397.807,1301.055,1400.166
"PAPSS2",1630.18,1622.27,1700.53,1704.07,1602.85,1621.85,1621.23,1550.25,1545.24,1525.36,1530.23,1631.03,1604.17,1621.03,1670.23,1701.07,1562.72,1680.61,1694.75,1576.99,1533.78,1538.22,1370.88,1520.58
"PARD3B",33.9582,35.7723,33.9638,39.658,39.2536,40.4104,37.067,31.8382,34.5874,33.5405,28.8767,32.169,37.4174,40.1394,34.5233,36.9152,38.6359,34.8519,28.3569,30.9237,31.2312,16.0861,24.1079,29.6592
"PARD6B",442.782,423.958,408.832,459.095,452.799,438.904,416.936,429.565,427.014,403.044,381.119,393.217,452.718,415.374,434.046,447.144,452.801,449.184,445.347,432.867,443.681,416.982,399.088,415.788
"PARD6G",30.7347,25.1681,22.1371,29.5127,23.8184,25.5636,29.7398,25.1689,23.8383,30.7815,28.1333,25.0213,27.762,23.8613,23.9567,27.9497,25.3217,23.1821,29.091,25.3989,24.589,29.8428,22.1549,26.8355
"PARG",24.1982,26.0347,21.0239,24.0147,26.2195,21.857,24.9996,27.8823,15.9479,28.1392,23.6198,25.8764,27.8006,24.5649,21.8909,23.9138,26.5851,22.8118,25.1833,27.4738,28.6189,23.1536,23.534,15.4148
"PARK7",3245.67,3166.86,3218.3,2952.11,3094.75,3214.85,3098.33,3026.62,3175.85,3194.52,3114.56,3170.01,3088.36,3055.89,3209.54,3169.03,3098.52,3113.42,3139.41,3073.03,3167.65,2970.57,2868.05,2837.33
"PARL",128.924,145.079,150.621,126.132,145.464,141.453,123.264,134.989,143.245,131.292,146.31,135.818,136.5,147.442,154.392,129.13,150.699,143.207,124.456,145.54,142.971,121.173,144.621,137.749
"PARN",517.422,508.271,519.491,466.662,478.874,517.015,485.306,478.885,475.225,524.347,529.564,554.663,499.226,485.278,537.157,510.866,472.668,500.285,521.579,516.824,484.942,494.964,516.528,500.475
"PARP1",6157.53,5990.54,6099.25,5505.15,5374.68,5461.58,5622.1,5386.29,5310.51,5910.7,5641,5742.35,5650.15,5460.6,5671.79,5842.81,5363.57,5561.5,5777.71,5577.89,5346.28,5909.88,5806.78,5712.99
"PARP4",406.042,335.337,360.66,374.016,328.108,335.091,399.155,357.513,381.371,432.453,372.259,414.303,409.261,368.824,362.044,372.537,329.467,342.715,400.136,333.955,402.211,419.735,323.645,361.562
"PARVA",550.7255,579.503,542.1145,524.7323,566.278,550.9402,578.6351,605.646,599.352,601.9429,629.005,616.284,573.7365,594.745,560.6055,587.4092,599.821,562.968,604.162,614.498,613.347,591.5631,585.2875,573.4429
"PATJ",216.876,200.522,213.069,250.609,200.977,216.273,243.832,197.122,228.451,236.914,213.981,210.363,222.753,214.396,217.776,234.022,212.729,219.688,265.962,220.264,235.419,220.754,222.284,221.54
"PATL1",197.584,181.079,187.398,194.003,180.535,174.143,197.258,189.994,185.101,191.421,186.915,179.729,219.852,189.653,183.2,176.546,178.708,185.933,198.804,187.077,192.924,214.87,186.887,194.118
"PAWR",551.832,614.719,592.019,538.728,554.376,559.852,582.856,557.809,586.944,553.679,571.053,557.645,588.584,608.941,584.823,589.9,601.099,572.139,588.492,604.303,576.305,505.844,508.545,537.387
"PAXBP1",122.987,113.748,145.315,122.599,104.703,111.292,136.608,110.267,104.234,150.723,117.493,111.064,111.193,111.663,141.844,112.964,112.263,107.973,119.472,118.055,115.698,154.416,122.537,111.813
"PAXX",177.495,170.165,165.014,159.863,163.487,151.354,173.592,164.432,157.389,195.114,177.663,170.022,168.944,175.777,174.135,177.202,167.282,163.175,177.524,164.269,159.16,190.299,164.497,150.99
"PBDC1",1209.77,1216.83,1302.88,1275.88,1279.03,1276.51,1294.02,1249.4,1313.23,1282.64,1242.14,1277.82,1334.28,1185.01,1324.2,1257.19,1230.98,1338.8,1275.76,1255.75,1342.1,1162.78,1236.35,1404.62
"PBK",583.775,575.606,620.11,470.239,468.139,478.687,511.918,547.368,478.933,557.399,581.347,594.952,538.719,588.275,575.528,540.337,521.53,521.831,504.747,530.517,482.237,536.465,522.866,482.902
"PBLD",510.698,536.883,516.926,578.018,603.476,566.887,568.024,501.416,527.087,540.525,533.187,536.986,551.22,530.827,576.156,543.975,557.637,554.471,542.728,537.202,542.22,450.512,450.791,495.945
"PBRM1",854.609,824.512,849.605,817.626,787.808,756.687,805.534,819.286,703.201,853.687,819.994,797.205,837.607,834.86,830.97,828.554,793.979,742.271,1206.19,806.671,741.268,831.758,815.091,771.677
"PBX1",19.8534,22.9194,23.0047,22.045,17.8952,18.2961,25.1102,20.9367,20.3112,26.1017,17.1876,18.2715,23.0243,20.6183,23.4746,19.1737,21.922,22.0243,21.6569,23.0089,21.5925,20.3822,26.8694,18.6309
"PBXIP1",539.071,549.322,537.431,520.085,523.228,518.85,500.212,517.695,521.327,547.18,581.679,529.326,546.967,532.539,572.591,537.395,528.291,523.146,542.445,532.324,546.161,520.529,522.8,508.511
