"","Control 2h","Control 2h_2","Control 2h_3","Control 6h_1","Control 6h_2","Control 6h_3","Control 10h_1","Control 10h_2","Control 10h_3","Control 24h_1","Control 24h_2","Control 24h_3","Virus 2h_1","Virus 2h_2","Virus 2h_3","Virus 6h_1","Virus 6h_2","Virus 6h_3","Virus 10h_1","Virus 10h_2","Virus 10h_3","Virus 24h_1","Virus 24h_2","Virus 24h_3"
"43891",70.9804,92.6065,93.9208,67.618,91.752,82.3455,74.1739,84.8177,77.1541,91.9663,95.4095,89.853,73.8309,94.0743,84.3371,75.1305,92.5467,79.382,81.2795,91.1112,73.1533,84.329,107.364,98.4035
"43892",322.492,331.24,299.725,341.955,327.451,291.29,344.789,320.189,339.524,350.523,342.9,270.866,348.299,333.571,309.873,344.399,361.838,318.721,332.18,312.399,336.094,319.562,266.335,276.214
"43895",66.5968,56.26,52.2355,61.3745,50.646,47.1843,70.2171,50.6474,56.9897,59.7304,53.258,49.8492,53.5973,51.6996,53.2501,61.8998,54.3504,49.9891,61.6645,48.1649,54.2295,60.6649,55.6191,48.0025
"44076",2764.7,2659.77,2605.76,2656.99,2569.47,2637.16,2643.21,2528.47,2623.41,2625.81,2584.22,2552.9,2656.85,2603.3,2585.01,2684.12,2618.44,2594.76,2661.84,2608.32,2548.4,2724.46,2591.78,2609.49
"44080",21.0943,23.6995,24.2877,17.0479,18.549,20.5981,19.0838,23.1942,25.037,19.1593,20.0879,19.6657,16.5451,20.2568,26.7687,19.4496,23.6105,28.1481,18.8717,14.8043,21.3152,21.8309,25.1775,26.4656
"44081",3274.17,3323.15,3127.48,3212.85,3163.73,2980.01,3101.67,3096.98,3015.35,3086.94,3073.67,2980.72,3290.83,3229.03,3080.24,3232.37,3216.39,3086.36,3235.78,3178.71,3102.84,3473.48,3424.81,3268.41
"44082",360.839,337.697,351.088,338.932,344.212,332.766,357.539,328.292,341.338,364.178,353.764,352.102,368.844,347.793,389.639,361.833,344.258,348.724,370.258,323.369,345.868,379.914,323.607,331.251
"44083",3368.27,3312.38,3345.21,3371.56,3344.02,3353.65,3253.22,3279.59,3296.15,3511.51,3395.96,3407.61,3470.41,3238.23,3291.71,3355.41,3297.38,3327.6,3404.14,3327.86,3278.44,3625.07,3210.72,3197.69
"44084",618.159,618.381,589.999,628.78,619.668,611.044,629.256,568.783,585.514,630.227,594.192,574.423,609.301,620.597,639.041,619.327,589.923,601.944,628.831,600.291,624.759,658.343,658.764,649.182
"44085",918.932,889.366,830.076,871.522,843.41,820.768,904.151,886.886,848.411,894.295,863.59,810.859,888.671,876.886,821.937,921.806,866.122,828.785,917.437,881.282,818.03,936.74,886.194,911.827
"A1CF",911.142,924.154,906.5,951.062,928.455,896.418,784.787,857.881,811.286,847.064,856.847,887.636,962.66,941,959.681,880.757,889.25,888.45,897.569,882.138,857.764,873.278,839.345,832.271
"AAAS",303.4,307.258,338.934,327.844,293.549,310.168,298.889,304.258,323.028,330.071,310.37,330.794,316.747,317.334,319.362,298.719,307.672,314.568,328.919,332.611,324.936,343.28,414.353,396.989
"AACS",1223.04,1191.91,1198.79,1208.46,1142.34,1190.64,1251.77,1264.18,1308.78,1318.91,1335.73,1338.77,1228.43,1204.84,1191.14,1230.43,1235.77,1203.21,1293.4,1328.85,1332.9,1282.71,1313.51,1276.18
"AAGAB",204.253,192.159,188.233,204.409,187.597,200.037,191.844,169.751,177.069,185.957,184.763,198.736,191.501,207.126,211.152,186.753,185.649,183.269,187.619,186.949,181.402,167.532,148.357,173.764
"AAK1",292.348,248.278,280.48,290.93,270.996,224.545,267.602,289.138,277.325,289.302,272.626,247.457,298.225,290.809,281.801,310.801,266.702,281.195,308.324,304.786,298.717,347.004,250.045,302.731
"AAMDC",552.689,511.796,505.313,581.261,539.023,534.465,538.033,515.131,568.374,492.498,487.19,454.56,572.904,540.604,532.165,552.023,572.362,553.719,545.129,512.153,601.921,419.399,389.521,439.306
"AAMP",735.24,718.547,717.195,737.242,764.09,738.703,764.127,765.24,733.846,875.169,854.957,849.931,717.142,698.939,701.77,744.446,731.364,700.506,803.745,788.421,756.273,748.314,750.739,698.844
"AAR2",100.91,94.472,101.179,108.502,88.172,105.298,93.6667,89.7564,106.018,98.5305,101.478,97.99,99.4762,84.6732,93.2159,104.599,87.1973,101.664,99.1786,94.5379,100.342,90.8733,91.6092,104.404
"AARS1",6300.45,5997.64,6016.35,6109.57,6186.68,5985.89,6101.76,5981.89,5914.12,6517.54,6297.04,6243.56,6079.67,6003.79,5814.43,6099.53,6087.02,5769.5,6235.64,6237.74,6242.75,6067.47,5674.11,5610.87
"AARS2",387.647,391.841,358.553,369.098,381.141,362.732,393.908,388.444,360.706,382.2,400.143,363.677,398.156,405.765,371.39,382.378,370.256,355.535,373.223,379.128,351.238,405.956,391.221,389.474
"AARSD1",355.365,354.299,334.623,284.386,287.61,292.63,335.854,315.958,312.55,350.331,370.726,346.416,316.093,308.187,319.746,325.504,319.064,313.868,343.229,339.399,330.331,330.634,335.959,365.347
"AASDHPPT",1064.26,1092.21,1091.49,1066.95,1058.52,1090.56,1010.86,1076.33,1087.65,1065.03,1068.23,1082.8,993.2,1041.81,1084.31,1032.76,1028.1,1069.63,1096.95,1112.68,1083,980.606,1047.46,1045.01
"AASS",1178.44,1105.24,1085.1,1202.1,1149.89,1137.05,1200.67,1091.87,1192.87,1176.37,1101.95,1037.75,1221.73,1135.28,1134.08,1159.44,1200.88,1103.51,1231.77,1170.7,1354.54,1329.94,1239.9,1213.35
"AATF",111.507,131.482,110.117,135.415,128.667,98.5364,116.062,113.838,100.25,114.966,117.739,99.4073,110.197,116.904,94.2882,110.959,110.74,95.4573,116.243,123.612,94.8643,115.591,140.237,103.618
"ABAT",1039.13,1118.85,1173.51,1234.13,1246.25,1171.12,1151.05,1085.55,1068.78,1111.39,1082.19,1053.3,1115.52,1144.88,1180.85,1158.28,1188.91,1158.7,1124.33,1114.19,1117.29,1088.44,1086.78,1084.12
"ABCB1",5486.71,5428.768,5697.972,5516.267,5242.93,5215.975,5406.685,5336.684,5141.086,6084.531,5799.221,5896.351,5243,5220.128,5448.732,5261.707,5073.874,5174.839,5659.757,5568.862,5298.466,6836.91,6674.403,6363.237
"ABCB10",36.789,41.5616,36.6815,31.4866,40.5183,36.5033,37.348,38.7106,33.5256,31.7325,35.1691,31.3283,34.3396,42.4414,35.1768,30.1575,34.6471,31.8909,33.9498,33.3445,32.5161,35.7075,43.5525,30.3814
"ABCB6",648.865,654.58,668.875,678.625,677.709,666.938,600.188,647.299,634.041,583.942,622.193,609.873,669.351,697.982,664.205,660.25,673.302,691.947,635.375,683.098,647.541,592.95,598.328,602.664
"ABCB7",354.304,345.546,359.196,345.771,305.812,321.712,336.302,360.622,348.021,340.998,329.556,359.792,362.932,351.488,377.458,359.38,332.653,351.198,361.955,361.97,356.542,356.664,353.62,363.156
"ABCB8",111.49,129.836,139.945,104.452,122.12,137.866,100.167,115.275,108.835,128.298,129.643,128.637,112.761,120.184,141.589,99.0931,117.874,131.839,114.972,124.061,117.456,112.065,120.957,132.027
"ABCC1",412.579,403.007,505.004,357.154,387.229,412.505,414.682,425.086,493.184,385.913,428.24,453.835,413.5,417.515,450.693,401.221,413.572,445.576,399.557,415.15,471.286,424.608,426.645,399.07
"ABCC2",222.334,241.405,254.95,253.439,245.873,247.4,262.26,265.865,263.651,284.253,294.264,302.896,206.221,222.871,239.32,233.55,211.861,251.285,271.172,286.495,226.401,229.227,281.446,276.833
"ABCC3",25.3866,24.8809,28.2437,30.0762,32.9429,29.537,31.2541,34.5817,35.4838,34.984,28.5538,30.431,34.4962,25.6262,26.6052,34.0433,36.4162,28.6472,33.3991,29.2301,32.9728,34.6723,33.5279,33.0255
"ABCC4",130.12,137.665,147.055,132.477,125.243,126.243,125.103,143.047,133.291,135.074,136.874,153.183,133.703,131.192,156.087,120.847,132.42,137.417,135.831,144.982,124.85,134.886,151.866,147.299
"ABCD1",46.0649,46.955,48.0454,39.6961,39.675,36.4642,48.2476,44.941,55.2267,43.6713,41.2344,49.0255,50.5368,51.2423,47.9669,44.8022,48.0843,52.0011,42.0518,46.367,41.0405,42.9766,48.2241,55.372
"ABCD3",2025.3,1961.98,1975.25,1959.17,1942.33,1955.53,1965.19,1829.54,1844.17,1986.72,1910.34,1906,2036.93,1955.36,2010.75,1989.69,1927.79,1895.12,2032.68,1977.18,1891.02,2162.1,2071.11,2078.35
"ABCE1",1813.08,1810.3,1877.55,1731.87,1768.8,1765.14,1757.91,1778.84,1744.38,1741.66,1737.22,1784.85,1727.73,1736.51,1798.76,1747.15,1717.52,1743.62,1819.29,1857.68,1763.1,1817.31,1790.11,1795.92
"ABCF1",3561.7676,3291.6929,3472.8273,3320.3489,3187.7874,3318.9291,3453.7347,3258.8014,3357.7802,3337.7276,3230.7092,3355.3556,3344.2627,3197.7698,3408.3974,3369.998,3209.4579,3333.6849,3460.8479,3349.2849,3303.6159,3495.0864,3229.6202,3226.8159
"ABCF2",1114.68,1136.72,1184.92,1060.01,998.466,1117.3,1214.35,1232.81,1257.9,1272.15,1259.4,1303.31,1072.31,1076.84,1154.11,1133.47,1107.14,1159.19,1239.51,1275.22,1166.1,1251.74,1170.26,1107.05
"ABCF3",298.485,277.302,276.336,287.69,264.446,258.063,308.231,296.412,279.137,319.594,291.02,295.532,306.172,291.146,293.524,299.25,267.995,279.052,285.212,283.311,277.147,310.919,280.632,297.117
"ABHD10",736.437,727.688,726.142,722.515,729.279,726.16,746.811,697.449,731.656,752.82,742.354,723.042,750.226,728.456,726.926,767.091,685.422,733.311,753.723,727.193,749.698,741.906,741.799,734.595
"ABHD11",998.245,985.317,1032.59,1011.35,1010.74,1066.61,998.647,940.312,1038.89,979.509,936.85,965.035,1044.23,1000.51,1013.72,987.167,999.192,1021.26,1032.87,965.114,1053.03,1075.25,1057.7,1104.3
"ABHD12",378.026,371.972,397.913,399.283,377.587,404.072,379.084,356.036,407.101,383.482,387.035,383.46,411.793,401.831,413.346,388.424,385.014,374.995,397.094,411.551,446.096,444.65,636.068,412.65
"ABHD14B",699.038,709.696,720.035,762.352,774.605,741.674,741.377,705.495,716.315,763.234,773.656,724.596,703.558,735.083,699.631,711.256,776.223,720.831,735.912,769.161,728.219,704.644,675.054,692.826
"ABHD16A",477.257,453.575,476.798,465.279,442.957,458.168,427.264,409.715,394.133,436.999,419.303,421.56,476.799,452.284,457.984,458.265,444.514,452.025,478.899,438.506,423.659,491.791,437.717,446.964
"ABI1",554.4051,548.8537,529.1242,580.837,543.1262,595.3688,524.8884,531.73,519.6457,553.996,533.7014,520.9339,586.8102,551.9059,556.2881,574.4914,563.4853,509.4877,574.7826,546.142,526.8787,598.1439,528.9507,532.2904
"ABI2",88.4904,82.7949,80.0396,92.7104,84.5242,89.3629,77.2344,81.1451,82.9285,76.3505,85.6321,81.8925,94.8656,90.5305,86.2901,83.5668,82.2989,84.1276,77.8779,88.1948,74.2873,82.2478,76.0158,81.8273
"ABL1",25.2918,23.9985,28.3485,27.4861,28.3321,29.5281,23.0216,23.0469,30.9329,26.3465,31.0266,31.843,32.3771,28.3391,26.6339,26.5272,23.7537,33.6361,28.9841,30.3107,24.3794,31.8784,23.2862,26.9589
"ABLIM1",119.969,106.699,121.667,108.859,122.336,117.837,129.973,112.412,115.399,132.51,126.553,129.188,143.683,121.019,134.351,118.381,120.765,120.697,135.377,126.182,139.563,132.559,130.07,136.938
"ABR",522.604,541.419,572.787,522.027,527.514,570.147,556.444,544.024,566.394,575.445,583.281,578.892,529.177,547.184,572.539,510.017,547.751,544.734,546.102,564.753,574.452,552.362,543.105,523.544
"ABRACL",337.741,314.962,310.662,328.113,325.892,289.573,344.562,327.184,335.618,298.252,263.766,256.601,296.667,275.088,250.712,293.956,283.133,266.409,310.386,303.892,330.466,350.261,364.918,337.74
"ABRAXAS2",172.283,161.734,165.278,190.715,172.436,175.415,178.66,156.551,162.598,181.862,164.727,163.581,182.001,175.196,164.978,196.702,175.474,165.164,202.795,168.025,161.796,211.841,150.039,167.926
"ACAA1",957.393,955.32,978.14,1061.26,981.388,904.691,1035.46,955.149,896.918,1068.45,1027.41,947.072,1000.02,950.186,994.931,984.109,1049.88,953.231,1009.73,938.978,902.165,1056.83,1057.47,977.076
"ACAA2",5140.97,4933.53,4849.82,5349.21,5255.05,4990.47,5179.21,5082.72,5136.32,5169.9,5079.33,4827.85,5378.77,5199.03,4908.68,5080.85,5312.28,4981.87,5083.43,5000.02,5732.15,5828.85,5880.64,5708.05
"ACACA",2803.85,2742.11,2772.57,2459.95,2491.74,2491.82,2549.22,2606.43,2507.61,2789.27,2723.7,2810.7,2649.82,2705.84,2768.1,2662.57,2572.74,2634.74,2699.73,2712.71,2541.66,2858.12,2774.17,2659.08
"ACAD10",151.446,135.916,119.79,168.407,158.798,144.866,164.586,141.483,147.913,150.273,139.661,133.403,147.071,139.783,134.36,157.704,138.658,141.953,156.345,137.057,129.851,129.835,124.136,132.899
"ACAD11",628.212,608.631,558.09,619.588,589.778,570.204,637.163,580.911,650.023,682.962,649.722,589.104,703.573,640.534,597.135,620.468,617.987,603.723,659.802,581.604,702.607,699.795,669.559,696.462
"ACAD8",372.151,385.604,386.492,371.957,359.369,369.74,356.061,342.358,350.211,363.349,360.077,383.659,385.717,383.682,400.339,358.505,372.111,382.587,360.848,381.462,374.132,375.205,373.39,381.447
"ACAD9",1043.59,1051.85,1056.72,911.291,987.171,958.068,1009.69,1020,1024.95,1092.41,1042.14,1071.02,1051.57,1029.83,1002.53,1032.79,998.442,1023,1026.03,1051.34,963.751,1050.21,1042.54,999.52
"ACADM",2290.7,2277.44,2278.96,2214.11,2270.4,2156.93,2335.62,2220.86,2246.45,2473.65,2424.38,2347.92,2390.45,2331.26,2282.55,2305.94,2249.33,2262.45,2400.59,2323.7,2348.05,2431.9,2448.39,2484.97
"ACADS",826.906,804.867,817.51,948.93,860.792,800.639,934.428,821.114,806.332,884.574,850.592,789.788,836.173,792.919,809.993,881.156,843.032,791.417,875.314,851.649,841.433,862.42,922.019,853.416
"ACADSB",921.149,943.382,975.383,1017.97,1032.16,939.714,949.141,952.24,844.77,929.258,936.164,943.47,945.155,951.231,899.146,958.857,1056.09,1003.57,927.271,972.586,954.805,909.967,1013.47,1019.32
"ACADVL",3067.58,3055.11,3133.63,2980.23,2884.47,3114.44,3302.69,3080.38,3435.38,3347.13,3293.19,3276.26,3321.91,3076.37,3148.36,3235.93,3211.59,3240.23,3240.71,3138.7,3659.1,3410.1,3408.25,3575.27
"ACAP2",358.849,325.092,318.484,373.866,328.208,337.835,360.102,336.692,351.124,353.897,347.226,315.345,393.383,351.04,343.578,353.392,348.185,331.234,373.772,381.144,356.728,359.759,335.352,331.878
"ACAT1",3723.85,3847.67,3771.13,3679.19,3870.91,3642.43,3489.48,3623.25,3425.87,3502.01,3592.87,3510.69,3622.99,3736.09,3649.37,3626.57,3898.33,3687.96,3528.88,3650.44,3538.19,3638.22,3681.82,3820.81
"ACAT2",1656.1,1600.83,1634.42,1624.65,1675.04,1628.89,1550.18,1671.29,1595.27,1601,1592.97,1621.9,1647.75,1640.1,1620.67,1574.03,1626.02,1611.05,1611.53,1616.38,1769.14,1790.83,2218.33,2161.12
"ACBD3",1119.12,1077.33,1071.17,1077.84,1069.43,1104.78,1134.04,1061.18,1092.84,1107.7,1082.4,1039.45,1108.66,1083.05,1100.73,1085.36,1125.08,1092.48,1134.26,1126.19,1123.66,1170.31,1134.22,1038.59
"ACBD5",2128.14,2070.6,1938.08,2141.59,2085.12,2061.59,2162.06,2065.14,2082.17,2115.3,2147.98,1947.64,2240.58,2138.97,2011.06,2105.41,2275.44,2038.5,2193.67,2113.11,2213.81,2272.76,2298.67,2168.26
"ACBD6",95.77,100.637,106.414,97.3381,92.5234,102.562,108.555,101.172,117.295,110.703,108.601,109.149,102.884,104.037,102.894,93.7885,98.0791,106.267,109.295,106.413,120.012,127.308,153.241,135.931
"ACE2",1338.66,1372.94,1473.32,1531.24,1532.77,1421.92,1555.64,1425.34,1469.42,1179.13,1115.98,1121.64,1355.84,1327.14,1342.12,1507.65,1455.98,1517.82,1458.93,1428.9,1417.33,988.255,1049.23,1002.66
"ACIN1",2718.16,2661.2,2738.33,2572.41,2603.39,2618.81,2548.95,2588.39,2584.63,2535.12,2543.82,2609.58,2680.71,2695.91,2683.99,2661.8,2603.75,2740.53,2663.59,2642.15,2643.34,2674.97,2615.72,2611.73
"ACLY",7593.82,7357.62,7417.14,7048.59,6836.11,7001.36,7430.61,7328.39,7603.83,7777.78,7750.96,7723.98,7668.75,7565.61,7526.1,7588.19,7485.39,7527.75,7816.63,7447.15,7658.67,7729.37,7637.11,7418.63
"ACO1",3467.44,3446.06,3263.67,3435.73,3467.52,3329.22,3582.43,3370.9,3421.4,3543.31,3464.53,3242.62,3642.26,3514.16,3489.07,3487.87,3588.02,3433.16,3557.35,3457.48,3656.75,3399.56,3132.2,3186.34
"ACO2",4827.25,4820.47,4825.64,4814.9,4658.16,4682.04,4758.5,4613.27,4581.32,4768.04,4720.89,4497.73,4979.37,4969.17,4846.42,4823.73,4906.2,4835.83,4890.89,4622.42,4718.96,4736.44,4821.27,4753.04
"ACOT1",934.026,887.227,938.632,936.674,856.578,904.394,921.308,876.801,907.846,955.765,915.684,947.384,961.02,888.999,927.769,931.151,882.89,907.588,907.767,830.9,944.695,889.014,893.473,896.717
"ACOT11",134.427,121.82,123.468,138.592,126.52,128.314,126.033,131.063,142.137,132.81,140.585,131.345,136.214,120.014,118.471,128.258,132.775,130.117,132.362,130.931,146.37,138.631,104.457,142.842
"ACOT13",889.398,845.973,865.12,925.832,940.567,947.156,892.913,839.116,904.152,883.338,836.591,818.97,903.132,874.61,904.911,914.772,882.104,869.693,907.197,902.34,968.443,882.795,881.711,840.749
"ACOT7",779.001,734.129,727.511,676.114,695.967,692.967,709.036,693.453,701.772,762.736,703.955,727.604,751.858,711.131,722.233,749.902,686.547,680.032,749.68,716.914,681.488,703.462,703.365,710.676
"ACOT8",87.6766,84.5715,78.7335,89.6431,87.1645,89.7356,90.6556,94.2732,95.8392,97.3819,105.702,111.873,102.776,95.8272,117.164,102.02,78.3218,87.7721,104.437,106.081,88.5867,80.8595,84.9703,102.286
"ACOT9",1306.76,1234.76,1233.7,1188.09,1218.72,1190.44,1262.85,1210.25,1246.83,1241.86,1272.69,1184.87,1250.84,1279.9,1220.19,1243.25,1274.05,1212.11,1242.3,1268.04,1323.62,1388.25,1305.7,1259.76
"ACOX1",1113.3,1101.55,1089.03,1107.82,1099.32,1114.54,1125.26,1100.27,1115.82,1029.66,1040.41,1003.58,1144.97,1077.39,1110.65,1129.94,1145.24,1139.87,1133.47,1098.56,1180.45,1138.51,1120.28,1202.58
"ACOX3",240.63,264.112,261.736,235.532,264.119,262.049,249.288,275.439,289.148,246.58,280.874,263.985,268.314,263.991,266.266,244.789,280.136,279.9,248.423,270.796,278.843,248.377,288.192,284.45
"ACP1",945.991,915.009,927.372,944.032,942.114,931.461,939.362,901.303,916.574,925.251,887.366,888.75,924.632,893.367,923.087,900.63,878.766,886.788,943.17,919.596,936.577,942.816,902.439,929.565
"ACP2",216.07,209.04,217.313,206.803,199.751,193.676,214.853,206.823,205.851,237.646,215.236,216.136,231.944,230.559,212.463,226.045,211.254,208.593,237.82,221.517,237.092,235.642,262.291,242.634
"ACP6",95.3928,88.031,94.9929,101.944,103.186,88.0447,93.2466,82.0266,82.4191,95.2279,83.8828,94.1713,97.2346,88.0549,104.451,95.8284,87.4453,88.5992,87.8645,89.8223,91.6992,99.1469,103.576,96.0939
"ACSF2",2247.24,2235.72,1995.25,2389.81,2419.68,2406.52,2555.7,2362.01,2853.93,2452.16,2463.15,2125.69,2738.29,2478.9,2225.86,2443.87,2600.2,2350.79,2481.18,2420.89,3001.38,2541.34,2548.63,2466.63
"ACSF3",208.218,196.109,188.658,220.147,201.842,198.22,209.591,186.922,206.785,235.57,213.753,228.087,238.387,213.74,216.786,220.362,189.189,199.722,242.113,212.01,219.005,244.857,233.528,236.025
"ACSL1",201.732,215.5937,192.5893,199.9375,261.5708,209.4408,230.9976,239.4906,242.2973,239.4297,245.9568,221.0365,236.6886,233.8118,199.6144,216.7207,256.7205,227.7094,237.0655,249.2993,261.4661,273.6249,296.4304,275.9124
"ACSL3",2237.963,2237.387,2129.2,2138.755,2124.015,2125.938,2124.838,2098.895,2061.89,2097.768,2068.975,2033.939,2325.588,2207.784,2168.541,2235.745,2239.969,2164.42,2177.925,2185.996,2218.19,2258.641,2236.804,2214.786
"ACSL4",1739.3,1759.38,1698.74,1756.87,1669.38,1622.93,1681.79,1711.68,1645.22,1644.55,1630.15,1660.34,1749.15,1741.38,1673.94,1753.64,1800.01,1754.87,1759.94,1709.86,1721.77,1794.73,1708.22,1768.85
"ACSL5",2150.16,2051.33,1903,2294.3,2225.75,2196.71,2432.13,2384.14,2560.2,2417.73,2344.05,2198,2404.2,2187.19,2069.28,2356.2,2411.81,2309.73,2443.33,2238.55,2637.67,2635.68,2796.16,2868.89
"ACSS1",349.393,354.096,351.41,340.815,361.099,355.715,358.956,347.472,366.826,417.453,411.041,392.615,368.65,365.73,355.389,342.472,364.368,373.524,355.368,360.52,368.078,338.689,364.295,378.976
"ACSS2",1769.43,1815.57,1798.65,1788.29,1847.98,1804.07,1660.66,1755.1,1735.11,1609.02,1665.48,1667.32,1742.56,1779.11,1724.32,1750.68,1783.24,1786.62,1693.34,1758.84,1759.35,1669.94,1740.67,1676.7
"ACTA1",27729.3593,27157.0844,26502.5254,27347.7622,27114.9322,26766.491,27255.3477,27433.6764,28111.8898,27110.0562,26889.0693,26170.2159,29093.7939,28124.8175,27242.3103,28079.6815,28896.7932,27325.3481,28672.7128,27772.4528,29722.3384,30856.8115,31345.7795,30671.2223
"ACTA2",56.9108,60.802,60.4737,53.6079,64.2965,57.7919,42.7225,61.6315,62.0728,47.4211,68.6813,66.3078,49.7422,62.9749,62.1649,44.7301,59.1648,61.6413,50.3483,62.8914,57.9039,31.2632,66.1814,63.1965
"ACTB",9933.859,9684.572,9923.79,10059.707,9818.993,9707.018,9970.078,9758.871,10156.719,9682.304,9314.411,9174.839,10218.451,9820.548,9880.636,9899.868,10078.446,9674.01,9718.249,9473.714,10453.892,11345.865,12229.082,11810.521
"ACTBL2",25.287,22.6349,28.9189,17.6666,18.5441,24.5883,21.6762,19.1071,26.1469,21.7451,20.6716,23.4877,22.3358,24.9804,20.2692,25.1424,23.9658,23.4563,25.8187,23.2942,20.7395,25.1665,40.1574,21.0893
"ACTL6A",727.467,700.373,713.428,669.149,665.494,653.38,700.157,703.441,662.54,797.318,753.917,724.152,683.546,704.616,698.318,708.22,683.982,675.445,723.083,700.595,642.546,780.417,705.479,723.648
"ACTN1",9095.57,9022.49,8846.85,9069.76,9115.15,9040.78,9380.97,9206.22,9637.16,9363.31,9264.96,8944.57,9244.65,9041.92,8933.98,9398.62,9562.58,9185.63,9337.82,9206.08,9705.29,9418.46,9381.86,9329.68
"ACTN4",16248.9,16031.4,15734.4,16427.8,16858,16360.7,17118.1,16345.7,17127.1,17326.1,17004.2,16147.7,16695.6,16220.2,16128.5,16679.2,17102.6,16442.4,17090.8,16985.5,17548,17237.5,17035,16904
"ACTR10",202.691,194.002,194.264,215.625,173.789,190.963,198.042,184.214,187.817,211.916,202.516,216.058,214.94,188.676,208.477,197.64,190.187,201.874,210.962,198.129,220.329,203.465,176.572,190.291
"ACTR1A",1442.332,1438.843,1448.072,1460.953,1421.729,1419.458,1427.025,1388.009,1403.071,1433.051,1405.129,1401.164,1468.711,1399.195,1453.094,1433.399,1438.317,1450.3,1439.303,1440.328,1422.303,1616.116,1493.207,1442.719
"ACTR1B",333.127,336.355,344.128,329.556,357.442,345.706,347.637,341.556,361.467,343.092,377.307,375.371,352.999,348.956,359.989,330.227,339.218,352.8,331.019,349.269,366.262,352.339,367.952,363.012
"ACTR2",2621,2618.75,2667.2,2679.43,2515.46,2652.21,2600.04,2602.18,2591.65,2637.1,2557.17,2631.46,2619.74,2483.29,2622.02,2656.6,2558.06,2620.86,2629.31,2610.12,2689.64,2789.44,2739.89,2867.15
"ACTR3",3367.825,3259.757,3282.856,3355.408,3281.646,3238.804,3365.52,3231.555,3219.905,3396.537,3288.958,3302.716,3334.506,3276.891,3364.979,3389.569,3291.597,3331.026,3329.675,3312.613,3255.008,3619.059,3363.348,3257.521
"ACTR5",29.1919,25.9869,26.9279,24.3244,30.1294,27.2321,31.819,25.0718,27.0924,34.0041,28.2207,28.2292,34.0029,30.8431,27.1161,32.3527,27.4837,23.5386,32.51,30.2304,22.5009,32.6321,28.5428,26.6388
"ACY1",2094.42,2139.81,2046.45,2222.8,2156.49,2187.6,2100.1,2127.82,2287.32,2296.04,2241.96,2164.66,2252.33,2170.95,2129.59,2210.41,2206.8,2187.42,2246.85,2105,2326.38,2161.14,2265.34,2273.7
"ACYP1",252.46,251.417,232.431,225.785,226.652,211.355,232.931,243.207,233.525,246.348,239.658,231.459,250.739,246.374,248.311,230.41,245.785,234.016,234.847,237.829,236.166,209.4,211.852,201.549
"ADA",207.117,216.707,207.741,209.472,214.185,207.778,180.94,195.212,228.22,194.558,197.889,194.127,224.906,201.217,208.286,215.009,211.306,200.449,208.729,202.334,216.785,222.58,248.398,252.196
"ADAM10",364.526,340.961,352.431,348.907,343.656,349.817,326.887,309.175,342.729,309.49,284.445,324.417,372.54,330.539,348.694,348.287,335.579,326.186,354.433,325.761,345.525,337.151,331.127,359.313
"ADAM9",344.858,342.954,330.626,335.23,322.831,313.085,364.362,318.61,339.336,363.657,313.692,320.707,395.426,367.311,343.532,371.69,353.5,329.399,354.32,361.27,347.775,363.102,309.221,311.802
"ADAMTS6",132.082,124.791,122.528,130.317,121.081,126.682,129.236,137.554,124.228,130.328,131.056,131.047,127.202,117.312,125.003,140.851,131.753,127.884,144.249,127.084,131.592,134.102,137.209,125.316
"ADAP1",263.84,244.664,266.54,287.841,255.483,259.086,318.468,271.086,274.887,326.15,282.417,247.012,272.376,258.564,262.176,291.58,263.397,260.451,306.627,263.432,278.457,293.491,268.642,237.012
"ADAR",2606.68,2565.4,2546,2530.85,2546.52,2497.18,2596.01,2501.46,2462.89,2736.95,2652.55,2583.87,2586.54,2535.94,2522.72,2605.18,2562.9,2541.96,2623.73,2609.3,2455.94,2676.28,2588.46,2520.44
"ADARB1",70.8886,67.3705,75.2293,60.7168,55.1213,54.6806,72.9973,64.7742,74.0033,66.8635,64.9691,70.0832,72.6515,70.5692,75.1962,70.8925,64.2461,74.2143,76.0534,63.5351,69.9157,72.8334,95.017,78.5805
"ADCY6",117.422,105.196,106.461,136.41,125.64,118.888,119.383,95.2833,110.021,106.276,98.2594,100.464,125.397,99.9043,119.753,125.43,103.498,118.006,119.548,104.544,110.178,117.741,104.026,108.745
"ADD1",1566.18,1522.29,1577.66,1630.42,1665.8,1637.26,1594.66,1487.82,1496.71,1648.92,1615.13,1655.48,1579.81,1561.32,1645.25,1567.39,1521.99,1580.63,1593.62,1597.29,1549.77,1645.92,1459.12,1529.38
"ADD3",1305.28,1284.47,1262.31,1243.3,1322.79,1297.74,1230.06,1227.15,1221.95,1229.54,1301.79,1276.8,1266.82,1273.14,1303.64,1287.09,1223.12,1226.76,1237.56,1309.48,1183.54,1215.87,1265.45,1280.09
"ADGRE5",112.042,100.91,96.8314,114.285,78.118,82.904,121.208,103.698,124.019,130.689,107.415,103.54,117.372,85.16,107.214,126.504,87.0344,105.59,126.38,96.3133,109.55,143.946,120.962,122.838
